"GroupPolicyName","GroupPolicyKey","GroupPolicyValueName","IntuneDisplayName","IntuneName","IntuneKeywords","IntuneRootDefinitionId","IntuneOffsetURI","IntuneInfoUrls","IntuneMinimumSupportedVersion","IntuneWindowsSkus"
"EnableFeedbackAndSupport","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Allow users to contact Microsoft for feedback and support","EnableFeedbackAndSupport","EnableFeedbackAndSupport;  Allow users to contact Microsoft for feedback and support; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablefeedbackandsupport","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableFeedbackAndSupport","",,""
"DisableListSync","SOFTWARE\Policies\Microsoft\OneDrive","DisableNucleusSync","Disables Lists sync on this device.","DisableListSync","DisableListSync; Disables Lists sync on this device.; \List Sync; List Sync","device_vendor_msft_policy_config_onedrivengscv6~policy~nucleuslistsync_disablelistsync","/Config/OneDriveNGSCv6~Policy~NucleusListSync/DisableListSync","",,""
"AddedFolderUnmountOnPermissionsLoss","SOFTWARE\Policies\Microsoft\OneDrive","AddedFolderUnmountOnPermissionsLoss","","","","","","","",""
"KFMForceWindowsDisplayLanguage","SOFTWARE\Policies\Microsoft\OneDrive","KfmForceWindowsDisplayLanguage","Always use the user's Windows display language when provisioning known folders in OneDrive","KFMForceWindowsDisplayLanguage","KFMForceWindowsDisplayLanguage; Always use the user's Windows display language when provisioning known folders in OneDrive; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv4~policy~onedrivengsc_kfmforcewindowsdisplaylanguage","/Config/OneDriveNGSCv4~Policy~OneDriveNGSC/KFMForceWindowsDisplayLanguage","",,""
"KFMBlockOptOut","SOFTWARE\Policies\Microsoft\OneDrive","KFMBlockOptOut","Prevent users from redirecting their Windows known folders to their PC","KFMBlockOptOut","KFMBlockOptOut; Prevent users from redirecting their Windows known folders to their PC; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_kfmblockoptout","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/KFMBlockOptOut","",,""
"GPOSetUpdateRing","SOFTWARE\Policies\Microsoft\OneDrive","GPOSetUpdateRing","Set the sync app update ring","GPOSetUpdateRing","GPOSetUpdateRing; Set the sync app update ring; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_gposetupdatering","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/GPOSetUpdateRing","",,""
"DefaultRootDir","SOFTWARE\Policies\Microsoft\OneDrive","DefaultRootDir","Set the default location for the OneDrive folder (User)","DefaultRootDir","DefaultRootDir; Set the default location for the OneDrive folder; \OneDrive; OneDrive; One Drive","user_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_defaultrootdir","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/DefaultRootDir","",,""
"DisableCustomRoot","SOFTWARE\Policies\Microsoft\OneDrive","DisableCustomRoot","Prevent users from changing the location of their OneDrive folder (User)","DisableCustomRoot","DisableCustomRoot; Prevent users from changing the location of their OneDrive folder; \OneDrive; OneDrive; One Drive","user_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_disablecustomroot","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/DisableCustomRoot","",,""
"EnableAutoStart","SOFTWARE\Policies\Microsoft\OneDrive","EnableAutoStart","Start OneDrive automatically when signing in to Windows (User)","EnableAutoStart","EnableAutoStart; Start OneDrive automatically when signing in to Windows; \OneDrive; OneDrive","user_vendor_msft_policy_config_onedrivengscv7~policy~onedrivengsc_enableautostart","/Config/OneDriveNGSCv7~Policy~OneDriveNGSC/EnableAutoStart","",,""
"AutomaticUploadBandwidthPercentage","SOFTWARE\Policies\Microsoft\OneDrive","AutomaticUploadBandwidthPercentage","Limit the sync app upload rate to a percentage of throughput","AutomaticUploadBandwidthPercentage","AutomaticUploadBandwidthPercentage; Limit the sync app upload rate to a percentage of throughput; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_automaticuploadbandwidthpercentage","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/AutomaticUploadBandwidthPercentage","",,""
